HYBAS_ID,WSI,CCI,Fish_priority,FBCI,Protected_area,SARI,Fish_richness,FBCI_n,WSI_n,CCI_n,Priority_n,Protected_area_n,SARI_n,Fish_richness_n,FEOW_ID,protection_score,Prot_rank_feow,restoration_score,Rest_rank_feow,SAR_score,SAR_rank_feow,AIS_score,AIS_rank_feow
8060150880,0.0393891863917,2.75512795647,0.5709966134494436,0,23.953830179783065,0,24,0,0.16687414436082698,10.509976279031136,39.03085837488209,12.128441904526758,0,19.491525423728813,106,81.03344907458988,8,54.940557134044525,5,61.22360692411879,15,64.00767335907693,11
8060010210,3.30139046127e-5,6.14363085604,0.5583373649411385,0,0.37261801379381126,0,18,0,1.3986496266942826e-4,23.79773532593849,36.548533441135504,0.18866609268336204,0,14.40677966101695,106,65.21272589233438,19,33.24935455782021,21,71.05261393517196,6,62.85437379142765,12
8060155560,0.0493521973067,3.11888544783,0.562219978544835,0,23.156760998753366,0,23,0,0.2090829096083503,11.936423899103277,37.309866829151105,11.724865224030658,0,18.64406779661017,106,76.47791795517449,11,50.76582272874077,10,60.488039725611586,16,62.21069991210272,13
8060129850,0.0462620821735,4.16548232961,0.5543607336060167,0,8.913130900270254,0,22,0,0.19599149122510967,16.04057478712583,35.768764317477434,4.512948002574334,0,17.796610169491526,106,70.94746428239972,12,43.983076059970074,15,62.580081289334316,13,61.85614787520906,14
8060162570,0.0296804224758,2.36581431488,0.562219978544835,0,0.28297826980986207,0,23,0,0.12574250850636118,8.983312139602946,37.309866829151105,0.1432791787509632,0,18.64406779661017,106,78.03781423602663,10,53.50767626219188,8,57.41032723528336,19,60.61912673671406,15
8060010430,3.30139046127e-5,4.49536373464,0.5618116622556134,0,78.12624009660591,0,17,0,1.3986496266942826e-4,17.334179884719266,37.229800962293005,39.55732999735447,0,13.559322033898304,106,68.76587122694376,17,39.66026447993787,18,65.4698892283786,9,59.45640596485689,16
8060012110,0,6.01102925216,0.5541675305826249,0,6.817083874530626,0,14,0,0,23.277748118073188,35.73087955031089,3.4516653423679475,0,11.016949152542374,106,60.68021061114759,21,29.42522717649855,22,69.47524895079837,8,58.38670276188986,17
8060011270,0.100954160273,3.40348097338,0.5562409288824383,0,0.5097477431094984,0,18,0,0.4276970574536303,13.05244382926661,36.13744778331759,0.25809841082048984,0,14.40677966101695,106,69.45253013886284,16,44.598853887383164,14,60.41505079804969,18,57.660710003869916,18
8060010200,1.56584159037e-4,3.44423745132,0.5583373649411385,0,7.190502733329448,0,18,0,6.633761687767446e-4,13.212267289513916,36.548533441135504,3.640736939985088,0,14.40677966101695,106,70.50493639934055,15,43.83614963427887,16,60.46792859091128,17,57.56236226605637,19
8060130010,0,2.55322793729,0.5421988388969521,0,0.09736464682443129,0,20,0,0,9.718240552091,33.38396442527961,0.04929821498751305,0,16.10169491525424,106,68.51819553270049,18,45.331412859322775,13,52.88134607164443,23,54.344779616579345,20
8060162560,0,2.64313875629,0.5285437832607643,0,0.04520368788586642,0,21,0,0,10.07081906065114,30.70637380406952,0.02288777639456098,0,16.949152542372882,106,64.59552168312561,20,42.702436253136185,17,49.77198923156931,26,52.69093587676797,21
8060176270,0.120970514023,3.01319478219,0.5113570391872279,0,4.651945757196507,0,20,0,0.5124972833846417,11.521965909791891,27.33626195930467,2.35540008082508,0,16.10169491525424,106,56.72801832763612,22,37.77115564532382,20,47.63204520279969,29,49.90623246037031,22
8060012500,0.0155709342561,6.4180541031,0.4941944847605225,0,36.14051784001689,0,15,0,0.06596699675505112,24.873865431734163,23.970893410591565,18.29887612681883,0,11.864406779661016,106,40.487473593162235,26,15.123802326476712,30,55.96516176725344,20,48.363273331505596,23
8060012600,0.165507111055,6.30322083431,0.4829916545718432,0,40.15525172336754,0,16,0,0.7011786754944316,24.423555412390844,21.774154426627117,20.331639420495225,0,12.71186440677966,106,37.15601152330308,30,15.468895568761374,29,53.62431709286918,22,47.66548656686827,24
8060012510,0,5.8171050328,0.5030237058538946,0,99.99999945842174,0,12,0,0,22.517288889738957,25.70219646947851,50.632578424107074,0,9.322033898305085,106,42.159687974564996,23,16.790640889624385,27,55.74841159775157,21,46.28287481265307,25
8060012760,0,5.91947474775,0.4838673663056827,0,86.89598026190502,0,13,0,0,22.918724020908183,21.945870865423483,43.99767558963107,0,10.169491525423728,106,36.36184049372029,31,12.854283514176272,31,51.293183321657736,24,43.5747244013013,26
8060012680,0.00742551842796,5.1011534151,0.4838673663056827,0,74.79189239030504,0,13,0,0.03145855874703936,19.70973851507398,21.945870865423483,37.86906377033728,0,10.169491525423728,106,37.93487468789035,29,16.143012808462274,28,48.131230939720744,28,42.013647306383504,27
8060012610,0,4.74333729785,0.4838673663056827,0,99.51820010379632,0,13,0,0,18.306589546329903,21.945870865423483,50.38863098662905,0,10.169491525423728,106,38.66790773100943,28,17.46641798875455,26,46.68104884707945,30,41.26865716401217,28
8060012690,0,4.71799641926,0.4838673663056827,0,99.99999997071508,0,13,0,0,18.207217198505273,21.945870865423483,50.632578683494394,0,10.169491525423728,106,38.71759390492174,27,17.565790336579184,25,46.581676499254826,31,41.21897099009985,29
8060013050,0,7.80136821995,0.4516207063376874,0,12.354932813027093,0,12,0,0,30.29842761027643,15.622692359520263,6.255621065257688,0,9.322033898305085,106,20.976089876247414,36,-2.749919292531043,37,50.49746419632283,25,40.09394006296356,30
8060013040,0,7.3481535104,0.4516207063376874,0,97.18172319535262,0,12,0,0,28.52118024307521,15.622692359520263,49.20561247680868,0,9.322033898305085,106,21.864713559848024,35,-0.9726719253298235,36,48.72021682912161,27,39.205316379362955,31
8060012900,0,6.77829045053,0.4516207063376874,0,98.08330761237973,0,12,0,0,26.28650515094328,15.622692359520263,49.66210791644011,0,9.322033898305085,106,22.98205110591399,34,1.2620031668021063,35,46.48554173698968,32,38.08797883329699,32
8060012910,0,6.77280332981,0.4516207063376874,0,99.99999994342296,0,12,0,0,26.264987820089615,15.622692359520263,50.632578669675695,0,9.322033898305085,106,22.992809771340823,33,1.2835204976557755,34,46.46402440613602,33,38.07722016787016,33
8060176280,0.0047346844506,2.50058622295,0.4694756894049346,0,0.00141254443723804,0,16,0,0.02005871379660877,9.511810031976996,19.123837757714572,7.151912178327179e-4,0,12.71186440677966,106,40.745954854085575,25,25.562044932535482,24,34.267569483436205,37,36.61929002079027,34
8060191300,0,2.40912207533,0.4694756894049346,0,0.01093609228041955,0,16,0,0,9.153140262162264,19.123837757714572,0.00553720907597117,0,12.71186440677966,106,40.94534845278955,24,25.86986819528439,23,33.878910292338674,38,36.41227229557536,35
8060012770,0,5.5331796484,0.4516207063376874,0,93.68014788191306,0,12,0,0,21.40389686764965,15.622692359520263,47.43267459997415,0,9.322033898305085,106,25.423355247560806,32,6.14461145009574,32,41.60293345369605,35,35.646674691650176,36
8060156300,0.0036809140305,8.34265227033,0.4126533843514976,0,5.094594165043286,0,11,0,0.01559436575300483,32.42103226801369,7.981673628890989,2.5795243843578133,0,8.474576271186441,106,5.94232510581306,38,-14.594973525902239,39,42.76408676443555,34,32.68828767007824,37
8060160010,0.353686163082,6.80856432551,0.39840348330914366,0,49.262567053837735,0,13,0,1.498408097330222,26.40522187277388,5.187441045681163,24.94290802399862,0,10.169491525423728,106,4.368371345983645,39,-6.385425500823039,38,35.352459281923345,36,30.62748228435028,38
8060177370,0,4.92212583367,0.4126753749395259,0,47.74382650410792,0,15,0,0,19.007695331019363,7.985985716210746,24.173930519683413,0,11.864406779661016,106,16.061816535698444,37,2.1736947842208547,33,29.333010196423153,39,29.354240161381444,39
7060282770,7.39945250845,4.36496814938,0.6805550638960671,0.195121951,8.854494248891138,4,41,64.11149820403186,31.348129250680792,16.822843412811505,60.51394033412103,4.483258753909094,20,33.898305084745765,107,49.93761337525833,9,201.48154609791237,1,267.0999609470426,1,283.6246691333776,1
7060242880,12.1577634586,4.70486831312,0.6341823119059881,0.129032258,0.0401318118679904,0,31,42.39631335497038,51.50693782603012,18.155736318511725,51.42080669069031,0.02031975477749393,0,25.42372881355932,107,6.423735640869779,17,201.35605795726985,2,216.24761013915304,2,234.73321360888116,2
7060256690,2.32625387284,4.6341297708700004,0.6509647400324425,0.205882353,3.4817990439156676,1,34,67.64705886218486,9.855284156822137,17.878340450009812,54.71163708712159,1.7629246251447672,5,27.966101694915253,107,34.251594868372976,12,111.78725879266611,8,201.12254102494006,5,234.23770093838107,3
7060208540,9.14782707336,10.727497433,0.6170494322547596,0.117647059,1.6161938035105636,0,34,38.65546225390156,38.75520048693939,41.773023051248046,48.06125700516022,0.818320583289623,0,27.966101694915253,107,8.260284787816929,16,143.725760486576,5,211.63858134442387,3,221.26790162112465,4
7060075830,11.5158135056,10.3536817357,0.6313748060657625,0.068965517,1.7167032919727825,0,29,22.66009844933146,48.78728659830329,40.30713293372612,50.870288881970545,0.8692111291510771,0,23.728813559322035,107,17.138106860042953,15,168.32879111173588,3,208.2032721155215,4,203.62705337664718,5
7060184430,2.96470588235,4.16267125077,0.6284470246734397,0.157894737,2.420539387215928,0,38,51.87969931482277,12.56011618211327,16.029551353062214,50.29618649777656,1.225581494098085,0,31.35593220338983,107,40.004659740408854,11,110.16700741700015,9,166.65213167774144,9,202.11377344828685,6
7060224630,4.07220862069,7.60327472462,0.6216255442670537,0.133333333,0.11439140580160732,0,30,43.809523712517006,17.25210372407234,29.52161888007327,48.95857701118448,0.0579193021292073,0,24.57627118644068,107,28.36928394329395,14,99.55586267740986,12,175.03626270874256,7,192.42258219285125,7
7060202930,5.84885761892,7.66591095092,0.5977503628447025,0.1,18.131389861484603,1,30,32.857142866530616,24.778960929521617,29.767242126489137,44.27694380811212,9.1803902272433,5,24.57627118644068,107,30.36013081489041,13,119.26534342343717,7,177.0270472827478,6,183.17213983574646,8
7060282720,2.99576295291,1.40376362583,0.6495116306437061,0.108108108,27.51573592435514,2,37,35.52123549586321,12.691690925102778,5.210702782051617,54.4266999785124,13.931926634393427,10,30.508474576271187,107,80.76592956336977,1,138.42765211092694,6,161.60324650218226,10,180.17847306751494,9
7060224620,0.591478790294,1.0332862045,0.6189612274517934,0.148148148,23.332473381515744,2,28,48.67724864247922,2.5058277684731927,3.757903462453183,48.43613683177082,11.81383293454443,10,22.88135593220339,107,59.30167382751337,7,100.54069817811373,11,154.1197225476228,11,175.89633609864947,10
7060203140,1.77693859812,7.8309412727,0.6208551970525846,0.115384615,23.83176491069437,2,26,37.91208779654632,7.528084109030632,30.414396110487353,48.807521275382754,12.06663711107202,10,21.1864406779661,107,51.73510325814752,8,84.45631122957948,13,174.90085160965003,8,175.09609164730307,11
7060208410,0.0708530502622,10.8556779949,0.6006360454196191,0.117647059,6.412685308244132,0,34,38.65546225390156,0.30017228638037374,42.2756734757882,44.842791125343794,3.246907919971503,0,27.966101694915253,107,40.942186073866594,10,41.989208228739955,17,150.48656374332833,12,165.22934194375705,12
7060259200,7.03392431792,0.591687479428,0.6430310407790627,0.064516129,0.08984170772665434,0,31,21.19815667748519,29.799551846012484,2.0262073039748043,53.155934988328674,0.0454891569271663,0,25.42372881355932,107,62.49075328765106,5,162.71769091789858,4,142.60650166649987,13,159.58213303545108,13
7060242640,0.00332391734811,5.93986780051,0.6385824866956943,0.1,1.7586430402306328,0,30,32.857142866530616,0.0140819324846183,22.9986938421942,52.28362754345776,0.8904463052005129,0,24.57627118644068,107,66.62105219399317,3,65.34893411190592,15,132.93479840516443,15,148.6167752475135,14
7060259190,3.77245468114,5.24407316223,0.63514755684567,0.066666667,0.3666373129818948,0,30,21.90476202054422,15.98218203328734,20.270187544983138,51.610079504109954,0.18563790963707305,0,24.57627118644068,107,62.909242957885496,4,106.85621295908823,10,139.10372166073375,14,148.5370323912917,15
7060184580,0.871347576347,5.78378045298,0.610062893081761,0.090909091,0.21198065591969192,0,33,29.87012990853432,3.691505069381821,22.386609058523888,46.69128149845034,0.10733125601240838,0,27.11864406779661,107,59.483179345419636,6,71.05191035595004,14,126.74334399377153,17,144.85974599642566,16
7060256540,0.031007751938,9.1523893929,0.6430310407790627,0.064516129,2.243868168468967,0,31,21.19815667748519,0.13136580232327066,35.59635544020624,53.155934988328674,1.1361283001996718,0,25.42372881355932,107,75.37386526322456,2,53.94214094998982,16,131.82027984888776,16,135.4224254595613,17
7060073760,8.21636526697,3.53264475777,0.5898277276456111,0.304347826,10.02117335437862,0,23,100,34.80901864910191,13.558949886788,42.72341123603404,5.073978470343914,0,18.64406779661017,108,-59.64546483189484,41,151.49924573369387,14,249.62751463425695,2,299.5198831825665,1
7060269450,10.1031387342,10.5201422792,0.7329936265539219,0.130434783,3.5741113909668316,1,46,42.85714299795919,42.80242335707685,40.959895424537606,70.79650580315555,1.809664746928907,5,38.13559322033898,108,54.79828565286897,4,199.09221600019748,4,262.3329608300752,1,272.054693320597,2
7060074540,8.06120070044,14.8884686226,0.634978229317852,0.147058824,20.107750162732003,0,34,48.31932789951981,34.15165665087926,58.0899583489999,51.57687643174774,10.18107241246002,0,27.966101694915253,108,0.10672570874950793,35,120.64625499502691,20,238.0641761809357,3,244.30576860949003,3
7060263970,10.3081864615,0.898589770354,0.6249122149913385,0.161290323,4.649513417911411,0,31,52.99539185799869,43.67111771664173,3.2297015353907046,49.603053236021566,2.3541685247219433,0,25.42372881355932,108,6.944935078308859,32,195.1817440831033,5,200.9064836984071,12,234.06994580992267,4
7060264650,10.7962325414,11.5207187726,0.6142803054205843,0.130434783,0.8816182810082037,0,23,42.85714299795919,45.738747933272194,44.88358082376978,47.51826485355893,0.4463860536391214,0,18.64406779661017,108,-15.15401561561778,40,148.71229877027207,16,229.89932001620954,4,230.29916329276807,5
7060264520,11.0500898836,0.86966953982,0.6326398967908402,0.148148148,7.034929745608391,0,27,48.67724864247922,46.814226526510296,3.1162930283578283,51.11835781341239,3.5619663245182913,0,22.033898305084747,108,7.818409018269875,30,201.2807475092392,3,201.89021711952563,11,228.55989433205826,6
7060213040,15.2475067187,5.44606817941,0.5988071480406386,0.09375,4.195031234836339,0,32,30.80357143737245,64.59678075135811,21.062295799429176,44.48416655437273,2.124052475631814,0,26.271186440677965,108,-6.420847690990257,39,223.41937719224842,1,214.82592609559882,6,226.90911849600042,7
7060212920,10.792038483,7.159950154,0.6063464837049742,0.121212121,0.6263595781116081,0,33,39.82683976852196,45.72097960721592,27.783154948193573,45.9625387414095,0.3171419899686805,0,27.11864406779661,108,2.552774286612305,34,172.17472120993904,8,206.85822192455325,8,223.08772269543107,8
7060073880,11.222631113,12.0090704497,0.6255910857249871,0.096774194,5.25355616051013,0,31,31.797235180513496,47.5452055758556,46.79861516423953,49.736171544570546,2.6600109418391455,0,25.42372881355932,108,4.832748859993146,33,159.82198433887925,12,223.13893245844974,5,222.47082553274137,9
7060194980,9.09959137223,5.37623990092,0.6018787292372197,0.138888889,5.037260878483415,0,36,45.63492068446712,38.55084766599842,20.78846946174087,45.08646633427659,2.550495062910617,0,29.661016949152543,108,7.870688136731118,29,162.9982511110406,10,195.49100600226762,13,222.00939781272845,10
7060263060,11.3769371449,4.62994790903,0.6142803054205843,0.130434783,2.771077824944212,0,23,42.85714299795919,48.19893035165988,17.861941593599084,47.51826485355893,1.4030681445064128,0,18.64406779661017,108,-4.103378418920116,37,181.9702143633325,7,206.55585515582501,9,220.18361805600063,11
7060226990,11.6978969227,1.61380669481,0.6104587236662709,0.121212121,18.482985375323096,0,33,39.82683976852196,49.55869157551451,6.034370865804284,46.768899070206174,9.358412102545204,0,27.11864406779661,108,10.972896658552301,27,204.592412603317,2,191.88969869108243,15,218.31608080353575,12
7060263820,7.3449712453,11.9855398964,0.6204644412191582,0.125,25.293215467446625,0,32,41.07142858316327,31.117316811920468,46.70634187076516,48.730898800700714,12.80660721459717,0,26.271186440677965,108,10.22791025454329,28,118.71895871155975,21,209.12990929465835,7,216.5975884931145,13
7060074670,7.62438725519,4.24338044314,0.6233879328218951,0.114285714,7.963598059417674,1,35,37.551020325014576,32.30107590527751,16.346046375456663,49.304160009240185,4.032175039506981,5,28.8135593220339,108,37.247643718690355,11,162.24775613192838,11,187.39701028728277,16,204.71268770510216,14
7060217780,0.29038361295,20.0390518439,0.6068257491675916,0.147058824,8.442247033935574,0,34,48.31932789951981,1.2302238605681803,78.28758273479085,46.05651687976093,4.274527358297236,0,27.966101694915253,108,13.458271604925088,26,10.556207082059693,41,201.90412549484824,10,203.44966468458477,15
7060217900,9.55151428782,8.37305998797,0.5974600870827286,0.1,3.4443449169883835,0,30,32.857142866530616,40.46544039472822,32.54027384376032,44.22002425549117,1.743960634846377,0,24.57627118644068,108,7.564480740527429,31,148.93930699650014,15,192.52880609533162,14,201.15049739464803,16
7060260120,9.70078966351,4.70697412191,0.6255910857249871,0.096774194,6.696055236809589,0,31,31.797235180513496,41.097852558429544,18.16399408916434,49.736171544570546,3.39038542210642,0,25.42372881355932,108,25.597412414956793,21,172.1133152069907,9,184.86499015076382,17,199.2555843602945,17
7060194860,1.06712507936,6.54248635573,0.5990271839328443,0.162162162,17.32065378910452,0,37,53.281853243794814,4.520925686896221,25.36181714363064,44.52731292132989,8.76989364722635,0,30.508474576271187,108,31.090449460197107,17,72.99536453842353,28,158.31220739619008,20,191.63938026450336,18
7060076630,8.37222207345,4.43274434405,0.6255910857249871,0.096774194,7.877231541360152,0,31,31.797235180513496,35.469313354494496,17.088622658272833,49.736171544570546,3.9884454442682937,0,25.42372881355932,108,31.763637334337588,16,158.92099423720964,13,175.37449125431695,18,190.9500051733547,19
7060227100,10.0530127379,1.15087113555,0.6044333025465101,0.090909091,8.910228325676574,0,33,29.87012990853432,42.59006221156817,4.219003918214307,45.58738714458967,4.5114783542084345,0,27.11864406779661,108,27.77451446025846,20,186.53495801749142,6,165.30501284094797,19,188.35557816004297,20
7060169010,5.91547345234,4.61089468084,0.5883526850507983,0.111111111,6.477091810396104,0,36,36.50793648185941,25.06118204707149,17.78722579350737,42.43417329200917,3.2795185928710353,0,29.661016949152543,108,28.35021810157245,18,127.94983710153467,18,157.1379298038184,21,182.50671922655874,21
7060166020,4.28479137493,6.08342544913,0.5245232971322756,0.137931034,4.400199921161384,0,29,45.32019689866292,18.152720580356103,23.561644354777567,29.91800528788293,2.2279346722334195,0,23.728813559322035,108,-4.727741534005936,38,84.86322767170302,23,147.7502352213217,23,173.56706585317687,22
7060262850,0.86700209469,3.13569668002,0.6269714562167393,0.133333333,6.837609123251696,1,30,43.809523712517006,3.6730952315614505,12.002347880650015,50.006845438620154,3.4620578050830466,5,24.57627118644068,108,58.13140292427357,3,91.12690593480218,22,149.22085046146955,22,170.97095453136345,23
7060170140,3.74936407981,5.4195003537,0.5246484159951954,0.137931034,10.526612957310824,0,29,45.32019689866292,15.884357612609977,20.958112070833433,29.94253957780575,5.329895575154225,0,23.728813559322035,108,-1.11551985940811,36,81.74534693378979,24,141.78703547132875,24,169.15928782392143,24
7060142810,0.633362540052,2.86991867684,0.5805515239477503,0.138888889,5.791907462776775,0,36,45.63492068446712,2.683270248091457,10.960119447948312,40.90446031532137,2.932592088721339,0,29.661016949152543,108,41.47752903021845,7,77.02745599686155,25,126.63064969822823,28,163.41271401555736,25
