HYBAS_ID,FEOW_ID,WSI_n,FBCI_n,CCI_n,SARI_n,Fish_richness_n,Priority_n,protection_score,Prot_rank_feow,restoration_score,Rest_rank_feow,SAR_score,SAR_rank_feow,AIS_score,AIS_rank_feow
8060211690,111,0.00886558339627913,0,19.61254394777916,0,7.563025210084033,0.6545826467413015,-1.129069348455303,108,-11.26336576013583,86,20.47212780025878,118,18.036115138117015,120
8060045910,112,0.00147997931739092,0,47.023668450024886,0,0.8403361344537815,77.8680606852662,110.92234532267705,13,44.666490059385076,16,147.70377778399066,1,102.22227355012521,1
8060047730,112,7.481718223910051e-4,0,33.35464095948888,0,0.8403361344537815,77.8680606852662,117.75759087544004,12,58.33366250301515,12,134.0336561812654,2,95.38674984428718,2
8060030100,112,0,0,28.79348674212236,0,1.680672268907563,78.41354622421728,121.81512145602156,11,64.36965612170536,11,130.17665761787802,3,94.49096186418603,3
8060058100,112,0,0,19.178929184520474,0,0.8403361344537815,77.8680606852662,124.84619493474665,10,72.50747774941053,10,119.85682582809696,11,88.29786141198022,4
8060053140,112,0.00107092197031875,0,17.743321837894857,0,0.8403361344537815,77.8680606852662,125.56292768608913,9,73.94579975870509,9,118.42281959759747,12,87.581535707902475,5
8060055790,112,0,0,17.500472185445155,0,0.8403361344537815,77.8680606852662,125.6854234342843,8,74.18593474848585,8,118.17836882902165,13,87.45863291244257,6
8060055680,112,0,0,17.03862493167993,0,0.8403361344537815,77.8680606852662,125.91634706116692,7,74.64778200225106,7,117.71652157525642,14,87.22770928555995,7
8060055670,112,0,0,16.407372738731194,0,0.8403361344537815,77.8680606852662,126.23197315764128,6,75.27903419519981,6,117.08526938230769,15,86.91208318908558,8
8060057950,112,0,0,15.712058672268975,0,0.8403361344537815,77.8680606852662,126.5796301908724,5,75.97434826166203,5,116.38995531584547,16,86.56442615585448,9
8060057550,112,0,0,15.636074907112397,0,0.8403361344537815,77.8680606852662,126.61762207345068,4,76.05033202681861,4,116.31397155068889,17,86.52643427327618,10
8060056650,112,0,0,15.06643744164477,0,0.8403361344537815,77.8680606852662,126.9024408061845,3,76.61996949228623,3,115.74433408522125,18,86.24161554054237,11
7060059960,112,0.01225596876886022,0,40.893330708267456,0,1.680672268907563,63.77635092903006,90.64045422665413,16,35.22415176689157,31,123.36996669844578,4,85.92060289810982,12
8060048550,112,0.14980420116243096,0,13.722120048135654,0,0.8403361344537815,77.8680606852662,127.42479530177663,2,78.34402311664896,2,114.62398625148286,19,85.77620019833324,13
8060055800,112,0,0,11.89761732555882,0,0.8403361344537815,77.8680606852662,128.48685086422748,1,79.78878960837218,1,112.5755139691353,22,84.65720548249939,14
8060030010,112,0.00118048978376267,0,37.43470362757814,0,0.8403361344537815,59.38973805329849,84.01455923798582,26,32.69665264005945,41,114.22320058507344,20,78.94905518427458,15
8060028930,112,0.00312211480609179,0,36.08995687713121,0,0.8403361344537815,59.38973805329849,84.68499098818695,25,34.04632118416763,38,112.8813567231845,21,78.2793614272946,16
8060030000,112,0.00179592381813595,0,35.72365481181295,0,0.8403361344537815,59.38973805329849,84.86946821183405,24,34.409261509539675,35,112.51307189363507,23,78.0943801310548,17
8060029020,112,0.00223597356378231,0,34.434667792975866,0,0.8403361344537815,59.38973805329849,85.51352167150694,22,35.6993640033134,30,111.22474278523737,24,77.45049393010876,18
8060029740,112,0.00112701133127747,0,34.04076676001155,0,0.8403361344537815,59.38973805329849,85.7115811502216,21,36.09045394596741,27,110.82918376283692,25,77.25201294538718,19
8060029760,112,0.00145875747983201,0,33.80295410758664,0,0.8403361344537815,59.38973805329849,85.8301557302855,20,36.329107536303766,26,110.5918670980964,26,77.133564458882,20
8060029750,112,1.7866979094321745e-4,0,32.07353567871228,0,0.8403361344537815,59.38973805329849,86.69614503241156,19,38.0552810917342,24,108.86053483320194,27,76.26708860758913,21
8060029030,112,0.0012615512209229,0,31.94722131958859,0,0.8403361344537815,59.38973805329849,86.75821933054344,18,38.18434042936645,23,108.73583947057683,28,76.20542590239897,22
8060029770,112,5.753985824551604e-4,0,31.943957606150267,0,0.8403361344537815,59.38973805329849,86.76053733990106,17,38.18586482565145,22,108.73154990270199,29,76.20284709294346,23
8060024350,112,0.00109104692145327,0,18.93518807260921,0,7.563025210084033,57.38507869765328,96.54777635030166,14,55.57986129515026,13,93.13166850243553,37,74.4172036875308,24
8060045500,112,0.00330277089239547,0,69.1745554097144,0,0,39.27495880447754,32.79199944904078,125,-23.345397997654842,156,119.9592380398177,5,73.86679463205954,25
